Chute,Força física,Defesa,Velocidade,Time atual
pontos,pontos,pontos,pontos
1A,Cristiano Ronaldo,93,75,34,87,Al-Nassr,Maior artilheiro de uma mesma edição de Champions League (17 gols),false
2A,Lionel Messi,92,65,34,85,Inter Miami,Não limpa as chuteira do Pelé,false
3A,Neymar Jr.,83,63,37,91,Al-Hilal,Ganha 1,5 milhão de reais por dia,false
4A,Kylian Mbappé,88,77,36,97,PSG,Novo presidente do PSG,false
5A,Erling Haaland,91,88,45,89,Manchester City,Quebrador de recordes,false
6A,Luka Modric,76,66,72,73,Real Madrid,Visionário,false
7A,Mohammed Salah,87,75,45,90,Liverpool,Rei egípcio,false
8A,Thibaut Courtois,39,80,89,50,Real Madrid,Inimigo do povo brasileiro,false
1B,Bernardo Silva,76,67,54,80,Manchester City,Jogador multifuncional,false
2B,Virgil Van Dijk,60,84,91,78,Liverpool,Zagueiro que quase foi melhor do mundo,false
3B,Trent Alexander-Arnold,68,72,80,79,Liverpool,Bateu um escanteio genial em 2019,false
4B,Thiago Silva,54,78,86,59,Chelsea,Tem cara de choro,true
5B,Angel Di Maria,81,69,48,83,Benfica,Parece um duende,false
6B,Robert Lewandowski,92,82,44,78,Barcelona,Sem meu Bayern eu não consigo,false
7B,Vinicius Jr.,78,69,32,97,Real Madrid,Esperança brasileira,false
8B,Karim Benzema,86,77,39,76,Al-Ittihad,Cúmplice de chantagem,false
1C,Paul Pogba,81,83,65,71,Juventus,Um gênio imcompreendido,false
2C,Bruno Fernandes,86,77,70,75,Manchester United,Joga com CR7 por Portugal,false
3C,Roberto Firmino,78,78,59,77,Al-Ahli,Fez o gol na final do mundial contra o Flamengo,false
4C,Bukayo Saka,74,65,65,84,Arsenal,Estrela em ascenção,false
5C,Gabriel Martinelli,71,68,45,87,Arsenal,Cria do Terrão,false
6C,Casemiro,73,90,87,63,Manchester United,O melhor brasileiro em atividade na Europa,false
7C,Alisson Becker,50,76,87,54,Liverpool,Braço de Jacaré,false
8C,Toni Kroos,81,68,71,53,Real Madrid,Admira Ronaldo Henrique (jogador do Sport),false
1D,David Alaba,71,77,85,79,Real Madrid,Joga em todas,false
2D,Nicholas Kenzo,90,70,60,90,Sem Clube,Quem conhece sabe,false
3D,Hulk,85,99,45,80,Atlético Mineiro,Ele não é verde,false
4D,Deyverson,82,77,57,69,Cuiabá,Encantador do povo brasileiro,false
5D,Cássio Ramos,17,85,99,26,Corinthians,O melhor goleiro da história,false
6D,Roger Guedes,80,69,10,80,Al-Rayyan,Mercenário,false
7D,Gabigol,50,75,30,78,Flamengo,Ex da irmã do Neymar,false
8D,Rony,20,80,50,99,Palmeiras,Rústico,false
